Episode;Total Reward;Epsilon;Elapsed time [s]
1;-24.037;0.995;0.36
2;-238.838;0.99;0.34
3;-105.507;0.985;0.39
4;-475.295;0.98;0.48
5;-294.473;0.975;0.43
6;-345.147;0.97;0.44
7;-503.76;0.966;0.46
8;-467.086;0.961;0.35
9;-168.692;0.956;0.29
10;-114.854;0.951;0.35
11;-144.608;0.946;0.48
12;-168.221;0.942;0.29
13;-101.178;0.937;0.43
14;-425.71;0.932;0.52
15;-113.895;0.928;0.28
16;-141.35;0.923;0.45
17;-241.863;0.918;0.4
18;-274.412;0.914;0.26
19;6.081;0.909;0.46
20;-236.579;0.905;0.5
21;-222.396;0.9;0.54
22;-121.381;0.896;0.37
23;-189.09;0.891;0.63
24;-108.567;0.887;0.57
25;-242.608;0.882;0.41
26;-33.7;0.878;0.47
27;-110.991;0.873;0.46
28;-102.575;0.869;0.62
29;-91.617;0.865;0.43
30;-97.215;0.86;0.58
31;-79.073;0.856;0.64
32;-346.154;0.852;0.56
33;-258.167;0.848;0.66
34;-90.716;0.843;0.53
35;-91.178;0.839;0.51
36;-196.746;0.835;0.41
37;-94.93;0.831;0.52
38;-139.42;0.827;0.46
39;-23.524;0.822;0.45
40;-98.858;0.818;0.54
41;-207.645;0.814;0.38
42;-230.098;0.81;0.56
43;-113.388;0.806;0.38
44;-86.665;0.802;0.38
45;-59.863;0.798;0.4
46;-108.781;0.794;0.5
47;-212.644;0.79;0.53
48;-198.024;0.786;0.37
49;-138.771;0.782;0.49
50;-86.523;0.778;0.59
51;-61.099;0.774;0.38
52;-102.715;0.771;0.47
53;-188.607;0.767;0.51
54;-115.767;0.763;0.54
55;-273.393;0.759;0.4
56;-359.029;0.755;0.62
57;-110.369;0.751;0.58
58;-123.423;0.748;0.63
59;-117.702;0.744;0.73
60;-68.538;0.74;0.54
61;-231.18;0.737;0.62
62;-203.977;0.733;0.75
63;-84.521;0.729;0.96
64;-59.491;0.726;0.57
65;-137.159;0.722;0.72
66;-158.55;0.718;0.61
67;-66.94;0.715;0.71
68;-183.01;0.711;0.65
69;-96.417;0.708;0.5
70;-226.291;0.704;0.58
71;-107.226;0.701;1.02
72;-66.353;0.697;0.44
73;-129.027;0.694;0.8
74;-113.241;0.69;0.66
75;-96.275;0.687;0.66
76;-133.298;0.683;0.34
77;-22.181;0.68;0.8
78;-32.524;0.676;0.57
79;-28.058;0.673;1.17
80;-125.259;0.67;0.59
81;-159.909;0.666;0.88
82;-69.897;0.663;0.51
83;-55.155;0.66;0.7
84;-244.962;0.656;0.48
85;-47.439;0.653;1.56
86;-61.457;0.65;0.56
87;-89.444;0.647;0.54
88;-94.754;0.643;0.68
89;-19.014;0.64;0.48
90;-84.822;0.637;0.93
91;-158.689;0.634;0.64
92;-136.906;0.631;0.9
93;-25.294;0.627;0.84
94;-71.741;0.624;0.66
95;-35.026;0.621;0.87
96;-61.737;0.618;0.55
97;-43.046;0.615;0.74
98;-34.917;0.612;0.76
99;-153.137;0.609;0.65
100;-0.828;0.606;0.8
101;-102.001;0.603;0.57
102;-150.694;0.6;0.6
103;-133.886;0.597;1.67
104;-62.291;0.594;1.0
105;-71.424;0.591;0.55
106;-93.36;0.588;0.66
107;-58.845;0.585;0.47
108;-99.806;0.582;0.69
109;-84.255;0.579;0.54
110;1.115;0.576;0.86
111;-93.004;0.573;0.86
112;-101.801;0.57;0.54
113;-105.248;0.568;0.87
114;-51.672;0.565;0.84
115;-84.475;0.562;0.7
116;-215.276;0.559;1.03
117;-89.928;0.556;0.94
118;-54.164;0.554;0.66
119;-66.351;0.551;0.58
120;-93.804;0.548;0.7
121;-87.082;0.545;0.76
122;-68.324;0.543;0.44
123;-182.731;0.54;0.88
124;-16.824;0.537;0.92
125;-57.883;0.534;0.91
126;-21.329;0.532;0.96
127;-44.039;0.529;1.03
128;-70.647;0.526;0.92
129;-230.123;0.524;1.92
130;-197.642;0.521;0.77
131;-40.952;0.519;0.79
132;-87.996;0.516;1.24
133;-52.028;0.513;1.6
134;-27.269;0.511;1.62
135;-62.608;0.508;0.94
136;-28.589;0.506;0.89
137;-48.094;0.503;1.28
138;-23.048;0.501;1.16
139;-182.436;0.498;0.97
140;-84.875;0.496;1.53
141;-155.53;0.493;0.99
142;-36.992;0.491;0.68
143;-284.386;0.488;1.9
144;-121.81;0.486;1.29
145;-46.864;0.483;0.69
146;-79.824;0.481;1.23
147;-46.1;0.479;1.05
148;-207.108;0.476;2.1
149;-79.869;0.474;0.83
150;-50.078;0.471;1.06
151;-260.155;0.469;1.9
152;-109.383;0.467;1.08
153;-46.93;0.464;0.82
154;-242.653;0.462;1.41
155;-78.534;0.46;1.03
156;-25.778;0.458;1.04
157;-279.21;0.455;1.53
158;-7.063;0.453;0.83
159;-65.643;0.451;1.72
160;-70.415;0.448;1.39
161;21.895;0.446;1.6
162;-58.102;0.444;0.84
163;-53.504;0.442;0.88
164;-19.727;0.44;0.74
165;-22.513;0.437;1.08
166;42.927;0.435;1.33
167;-90.135;0.433;1.4
168;-28.163;0.431;1.29
169;-19.187;0.429;0.85
170;-88.398;0.427;2.3
171;-53.86;0.424;2.15
172;-115.352;0.422;1.28
173;-18.952;0.42;1.4
174;-24.913;0.418;1.57
175;-13.685;0.416;0.79
176;-105.586;0.414;1.78
177;-143.414;0.412;2.18
178;-164.337;0.41;1.08
179;-61.066;0.408;1.94
180;-215.438;0.406;2.69
181;-39.808;0.404;2.28
182;-83.751;0.402;1.37
183;-173.023;0.4;2.69
184;-165.076;0.398;1.41
185;-92.454;0.396;1.45
186;-86.181;0.394;4.07
187;-22.638;0.392;1.32
188;-171.774;0.39;3.6
189;-92.98;0.388;1.56
190;2.782;0.386;0.86
191;-47.268;0.384;0.95
192;-83.143;0.382;1.14
193;-49.004;0.38;3.9
194;-27.44;0.378;2.49
195;-129.538;0.376;7.34
196;-12.576;0.374;1.43
197;8.201;0.373;1.66
198;-190.501;0.371;5.51
199;-211.494;0.369;4.52
200;-29.831;0.367;1.62
201;-57.308;0.365;2.92
202;-115.608;0.363;2.16
203;-35.462;0.361;5.44
204;-73.275;0.36;3.58
205;-98.709;0.358;2.46
206;-304.422;0.356;4.48
207;-96.781;0.354;3.74
208;-161.183;0.353;5.35
209;14.763;0.351;1.8
210;-160.611;0.349;1.42
211;-10.164;0.347;2.43
212;-61.22;0.346;3.28
213;-45.874;0.344;9.43
214;-233.362;0.342;2.62
215;-18.494;0.34;1.65
216;-40.87;0.339;8.44
217;-51.471;0.337;10.92
218;-10.801;0.335;10.87
219;9.403;0.334;11.53
220;-124.408;0.332;9.26
221;-128.666;0.33;6.44
222;-16.681;0.329;12.55
223;-213.634;0.327;10.57
224;-130.624;0.325;11.9
225;-21.656;0.324;12.06
226;-46.564;0.322;4.56
227;-37.545;0.321;12.93
228;-45.504;0.319;1.44
229;-31.476;0.317;12.75
230;-8.724;0.316;2.47
231;45.267;0.314;2.01
232;10.773;0.313;2.24
233;22.696;0.311;1.29
234;0.431;0.309;1.29
235;14.494;0.308;13.7
236;-42.049;0.306;7.92
237;-92.582;0.305;5.5
238;-176.796;0.303;8.38
239;7.663;0.302;13.38
240;-39.345;0.3;13.58
241;-256.71;0.299;10.76
242;-17.84;0.297;3.38
243;-110.238;0.296;14.69
244;-25.716;0.294;14.22
245;-37.496;0.293;15.76
246;8.743;0.291;2.81
247;-23.791;0.29;14.76
248;-5.209;0.288;13.72
249;15.738;0.287;13.44
250;-92.717;0.286;14.39
251;-39.881;0.284;15.59
252;-57.786;0.283;15.04
253;-5.033;0.281;15.08
254;-74.311;0.28;16.32
255;-84.569;0.279;16.07
256;-41.597;0.277;0.99
257;-80.245;0.276;16.95
258;17.452;0.274;16.71
259;-5.942;0.273;16.51
260;34.762;0.272;17.16
261;-45.633;0.27;16.93
262;-29.926;0.269;18.16
263;-52.769;0.268;18.48
264;-83.25;0.266;17.87
265;-76.365;0.265;20.53
266;-77.429;0.264;19.09
267;-3.197;0.262;18.64
268;-88.008;0.261;18.63
269;49.643;0.26;18.07
270;-62.138;0.258;19.12
271;-111.555;0.257;17.75
272;-5.226;0.256;19.51
273;-89.459;0.255;18.06
274;-66.346;0.253;18.69
275;-20.605;0.252;18.81
276;21.128;0.251;1.4
277;-86.493;0.249;20.98
278;-74.473;0.248;1.23
279;10.149;0.247;1.84
280;27.951;0.246;1.53
281;4.822;0.245;21.84
282;-26.143;0.243;1.39
283;-83.425;0.242;21.51
284;-47.746;0.241;20.39
285;25.776;0.24;22.2
286;-53.175;0.238;20.99
287;-21.482;0.237;20.49
288;-82.222;0.236;20.63
289;-43.258;0.235;22.17
290;-106.869;0.234;22.04
291;-119.138;0.233;21.95
292;-33.331;0.231;21.62
293;-91.654;0.23;22.2
294;-67.975;0.229;22.78
295;-58.874;0.228;22.84
296;37.375;0.227;24.57
297;24.055;0.226;2.23
298;-47.637;0.225;24.94
299;-45.262;0.223;25.0
300;-50.543;0.222;24.53
301;-5.414;0.221;24.07
302;-145.917;0.22;23.11
303;-81.301;0.219;24.98
304;-25.068;0.218;2.02
305;8.839;0.217;24.7
306;-27.87;0.216;24.3
307;-43.746;0.215;23.99
308;-268.064;0.214;21.15
309;-46.42;0.212;22.74
310;9.17;0.211;23.88
311;-79.903;0.21;24.15
312;-29.295;0.209;23.85
313;-5.116;0.208;24.09
314;38.615;0.207;24.66
315;-102.367;0.206;2.79
316;17.573;0.205;24.16
317;34.759;0.204;24.17
318;-28.065;0.203;24.41
319;-98.459;0.202;1.19
320;54.948;0.201;25.11
321;47.683;0.2;24.37
322;-68.136;0.199;24.42
323;-48.775;0.198;22.42
324;-71.642;0.197;22.64
325;76.379;0.196;21.4
326;-60.37;0.195;24.9
327;-98.427;0.194;21.4
328;-5.292;0.193;21.26
329;-28.159;0.192;23.81
330;-52.078;0.191;23.5
331;5.29;0.19;24.36
332;-28.672;0.189;21.23
333;-64.834;0.188;21.77
334;3.356;0.187;1.36
335;-62.597;0.187;22.47
336;-99.068;0.186;21.7
337;-20.34;0.185;22.41
338;-107.808;0.184;21.93
339;-73.616;0.183;22.91
340;-27.358;0.182;24.76
341;-61.447;0.181;24.02
342;6.114;0.18;24.22
343;-9.449;0.179;24.71
