Episode;Total Reward;Epsilon;Elapsed time [s]
1;-199.849;0.995;1.1
2;-103.832;0.99;0.13
3;-116.648;0.985;0.14
4;-57.467;0.98;0.13
5;-187.057;0.975;0.21
6;-109.025;0.97;0.18
7;-335.172;0.966;0.17
8;-20.493;0.961;0.29
9;-110.227;0.956;0.14
10;-135.157;0.951;0.13
11;-206.417;0.946;0.15
12;-108.506;0.942;0.15
13;-55.906;0.937;0.25
14;-523.302;0.932;0.2
15;-158.863;0.928;0.18
16;-202.956;0.923;0.23
17;-80.403;0.918;0.16
18;-87.56;0.914;0.17
19;7.785;0.909;0.17
20;-295.267;0.905;0.19
21;-80.883;0.9;0.18
22;-212.299;0.896;0.21
23;-30.393;0.891;0.15
24;-74.624;0.887;0.18
25;-153.958;0.882;0.31
26;-52.111;0.878;0.16
27;-107.823;0.873;0.16
28;-83.363;0.869;0.32
29;-211.96;0.865;0.21
30;-146.126;0.86;0.3
31;-13.688;0.856;0.36
32;-118.377;0.852;0.22
33;-154.556;0.848;0.26
34;-239.101;0.843;0.24
35;-92.078;0.839;0.19
36;-66.469;0.835;0.23
37;-54.708;0.831;0.26
38;-27.565;0.827;0.28
39;-113.716;0.822;0.17
40;-181.287;0.818;0.3
41;-198.772;0.814;0.3
42;-110.949;0.81;0.31
43;-63.622;0.806;0.16
44;-353.971;0.802;0.29
45;-94.0;0.798;0.25
46;-110.952;0.794;0.27
47;-112.364;0.79;0.24
48;-90.119;0.786;0.25
49;-162.897;0.782;0.34
50;-160.466;0.778;0.32
51;-154.702;0.774;0.34
52;-177.524;0.771;0.21
53;-60.276;0.767;0.34
54;-121.912;0.763;0.31
55;-89.375;0.759;0.19
56;-80.91;0.755;0.28
57;-169.374;0.751;0.24
58;-97.467;0.748;0.39
59;-204.083;0.744;0.35
60;-43.319;0.74;0.17
61;-98.778;0.737;0.32
62;-82.663;0.733;0.42
63;-125.989;0.729;0.32
64;-118.294;0.726;0.37
65;-84.134;0.722;0.35
66;-136.718;0.718;0.38
67;-65.433;0.715;0.45
68;-68.352;0.711;0.27
69;-138.596;0.708;0.23
70;-136.836;0.704;0.26
71;-143.159;0.701;0.23
72;-150.158;0.697;0.27
73;-80.41;0.694;0.37
74;-279.464;0.69;0.43
75;-88.899;0.687;0.56
76;-114.069;0.683;0.33
77;-60.822;0.68;0.37
78;-131.968;0.676;0.37
79;-81.24;0.673;0.25
80;-58.553;0.67;0.36
81;-60.014;0.666;0.51
82;-122.757;0.663;0.36
83;-102.613;0.66;0.44
84;-399.053;0.656;0.46
85;-288.882;0.653;0.55
86;-114.685;0.65;0.23
87;-161.518;0.647;0.3
88;-246.378;0.643;0.41
89;-26.566;0.64;0.41
90;-102.995;0.637;0.49
91;-40.321;0.634;0.43
92;-102.471;0.631;0.41
93;-153.487;0.627;0.37
94;-68.496;0.624;0.39
95;-1.974;0.621;0.25
96;-66.076;0.618;0.25
97;-53.507;0.615;0.4
98;-79.281;0.612;0.6
99;-62.113;0.609;0.5
100;-77.207;0.606;0.44
101;-84.532;0.603;0.49
102;-132.651;0.6;0.42
103;-283.413;0.597;0.45
104;-9.89;0.594;0.66
105;-48.456;0.591;0.43
106;-72.884;0.588;0.39
107;-63.233;0.585;0.52
108;-100.12;0.582;0.59
109;-97.559;0.579;0.46
110;-195.393;0.576;0.58
111;-207.942;0.573;0.49
112;-84.965;0.57;0.26
113;-66.083;0.568;0.57
114;-57.514;0.565;0.45
115;-272.196;0.562;0.41
116;-274.417;0.559;0.78
117;-104.971;0.556;0.7
118;-103.125;0.554;0.78
119;-4.274;0.551;0.39
120;-104.726;0.548;0.82
121;-205.276;0.545;0.65
122;-86.755;0.543;0.3
123;-25.158;0.54;0.43
124;-82.379;0.537;0.51
125;-118.583;0.534;0.56
126;-269.921;0.532;0.72
127;-239.239;0.529;0.68
128;-110.149;0.526;0.52
129;-53.845;0.524;0.68
130;-38.231;0.521;0.36
131;9.975;0.519;1.33
132;-164.223;0.516;0.86
133;-25.191;0.513;1.03
134;-190.515;0.511;0.6
135;-277.719;0.508;1.22
136;-34.251;0.506;1.02
137;-64.503;0.503;0.91
138;-50.321;0.501;0.95
139;-42.356;0.498;3.06
140;-48.624;0.496;1.13
141;-39.765;0.493;0.36
142;-131.333;0.491;0.4
143;-19.948;0.488;0.75
144;-51.079;0.486;1.6
145;-70.048;0.483;1.17
146;-261.099;0.481;1.68
147;-24.687;0.479;0.82
148;-34.974;0.476;0.69
149;-58.077;0.474;0.63
150;-64.859;0.471;0.52
151;-97.133;0.469;0.72
152;-74.908;0.467;0.77
153;-31.732;0.464;0.76
154;-17.857;0.462;0.56
155;0.267;0.46;0.86
156;-50.734;0.458;0.78
157;-294.026;0.455;2.76
158;-22.17;0.453;0.41
159;-36.018;0.451;1.42
160;-31.723;0.448;0.47
161;9.233;0.446;0.89
162;-0.241;0.444;0.57
163;-213.634;0.442;2.93
164;-43.069;0.44;0.56
165;-33.234;0.437;1.09
166;-12.387;0.435;0.96
167;-106.892;0.433;0.53
168;-47.431;0.431;0.82
169;3.255;0.429;0.86
170;-154.335;0.427;0.52
171;-20.643;0.424;1.35
172;-278.065;0.422;4.64
173;-46.196;0.42;6.96
174;-92.646;0.418;1.86
175;21.11;0.416;1.03
176;-16.638;0.414;1.38
177;-411.223;0.412;3.88
178;56.699;0.41;1.43
179;-26.036;0.408;0.5
180;-29.287;0.406;0.87
181;-14.939;0.404;0.58
182;-73.714;0.402;0.41
183;-220.93;0.4;0.6
184;-98.791;0.398;1.89
185;-31.451;0.396;0.85
186;-90.198;0.394;1.38
187;19.513;0.392;0.96
188;-115.288;0.39;2.71
189;14.555;0.388;0.75
190;-0.943;0.386;7.64
191;15.733;0.384;7.47
192;-47.914;0.382;3.01
193;-60.361;0.38;2.27
194;-55.211;0.378;0.99
195;-224.289;0.376;2.29
196;-116.883;0.374;1.99
197;-106.863;0.373;3.91
198;-48.209;0.371;2.7
199;-110.489;0.369;1.68
200;-44.682;0.367;0.99
201;-57.583;0.365;0.43
202;-77.416;0.363;0.73
203;0.319;0.361;1.18
204;-68.645;0.36;1.82
205;-59.245;0.358;2.66
206;-117.676;0.356;3.11
207;-134.285;0.354;6.03
208;-128.534;0.353;1.05
209;-90.495;0.351;1.01
210;-32.544;0.349;8.65
211;-187.571;0.347;5.58
212;-87.242;0.346;2.49
213;-242.773;0.344;2.17
214;-302.559;0.342;2.14
215;-177.443;0.34;1.48
216;-106.094;0.339;2.1
217;-111.29;0.337;5.84
218;-40.882;0.335;1.71
219;-178.827;0.334;3.16
220;-49.6;0.332;0.64
221;41.227;0.33;9.64
222;-52.696;0.329;2.31
223;-48.273;0.327;5.27
224;-248.079;0.325;4.64
225;-375.59;0.324;2.96
226;-150.64;0.322;1.69
227;-57.385;0.321;3.2
228;60.501;0.319;9.55
229;-407.788;0.317;3.27
230;5.122;0.316;2.75
231;-56.014;0.314;0.9
232;-29.293;0.313;0.75
233;12.308;0.311;10.19
234;-117.295;0.309;6.52
235;-116.015;0.308;3.81
236;-279.176;0.306;6.51
237;-107.271;0.305;2.39
238;-66.572;0.303;4.93
239;-334.832;0.302;3.75
240;-201.253;0.3;4.38
241;-143.213;0.299;5.01
242;-25.307;0.297;11.09
243;-290.108;0.296;1.66
244;-183.514;0.294;5.37
245;15.355;0.293;11.62
246;-26.56;0.291;2.73
247;-25.044;0.29;11.18
248;-195.032;0.288;2.93
249;-4.953;0.287;11.36
250;50.621;0.286;11.68
251;-63.673;0.284;4.04
252;-223.878;0.283;3.57
253;-78.194;0.281;6.33
254;-126.962;0.28;3.47
255;-87.291;0.279;3.37
256;-195.704;0.277;3.75
257;-81.903;0.276;12.45
258;-53.934;0.274;5.39
259;-165.7;0.273;7.49
260;8.323;0.272;12.37
261;11.332;0.27;1.69
262;68.594;0.269;13.46
263;-140.364;0.268;13.59
264;-357.488;0.266;13.14
265;3.007;0.265;2.02
266;57.815;0.264;14.13
267;-24.045;0.262;1.71
268;-23.492;0.261;0.97
269;-146.561;0.26;1.7
270;-349.274;0.258;10.09
271;26.939;0.257;14.55
272;-15.026;0.256;14.3
273;17.225;0.255;14.12
274;-336.906;0.253;7.82
275;-135.467;0.252;13.43
276;59.736;0.251;14.68
277;-163.371;0.249;4.33
278;-94.763;0.248;15.21
279;-168.415;0.247;7.41
280;63.186;0.246;15.49
281;13.858;0.245;1.25
282;-8.813;0.243;15.86
283;-129.737;0.242;11.92
284;-56.975;0.241;9.5
285;-38.672;0.24;16.09
286;11.56;0.238;16.7
287;-183.027;0.237;1.55
288;-55.728;0.236;10.55
289;-32.576;0.235;2.96
290;89.534;0.234;17.34
291;-110.656;0.233;17.32
292;-154.453;0.231;16.83
293;-80.495;0.23;10.87
294;6.513;0.229;17.62
295;-87.158;0.228;2.39
296;-67.461;0.227;17.54
297;-39.792;0.226;7.3
298;123.213;0.225;18.07
299;-269.113;0.223;11.34
300;71.17;0.222;17.82
301;80.28;0.221;18.3
302;-143.242;0.22;6.46
303;-33.472;0.219;19.51
304;32.425;0.218;19.1
305;-56.664;0.217;19.53
306;88.443;0.216;19.44
307;-79.253;0.215;20.08
308;-4.108;0.214;2.71
309;-89.931;0.212;19.75
310;-133.566;0.211;16.03
311;-70.365;0.21;20.94
312;-213.62;0.209;4.69
313;82.921;0.208;20.16
314;23.049;0.207;2.18
315;75.314;0.206;20.13
316;2.204;0.205;20.55
317;-50.382;0.204;20.13
318;-44.684;0.203;4.52
319;74.348;0.202;19.97
320;-98.488;0.201;5.35
321;111.711;0.2;20.24
322;-34.116;0.199;20.4
323;-284.993;0.198;12.39
324;104.521;0.197;20.28
325;-65.753;0.196;20.43
326;-48.878;0.195;20.27
327;-15.97;0.194;4.41
328;-87.907;0.193;16.32
329;105.192;0.192;20.48
330;-65.383;0.191;4.27
331;-72.788;0.19;20.73
332;-87.341;0.189;2.67
333;105.924;0.188;21.23
334;185.857;0.187;12.86
335;-53.39;0.187;21.79
336;-71.281;0.186;21.52
337;-55.151;0.185;21.94
338;20.772;0.184;2.31
339;-8.486;0.183;21.99
340;-48.817;0.182;22.14
341;-156.671;0.181;4.87
342;-54.357;0.18;21.61
343;73.988;0.179;21.36
344;195.886;0.178;16.36
345;117.686;0.177;21.47
346;-42.058;0.177;21.48
347;-177.783;0.176;11.54
348;-57.329;0.175;22.34
349;182.535;0.174;13.22
350;53.353;0.173;2.91
351;-41.007;0.172;21.91
352;-19.185;0.171;21.94
353;17.552;0.17;21.59
354;-67.351;0.17;21.47
355;86.174;0.169;21.68
356;-53.282;0.168;21.58
357;-44.338;0.167;21.67
358;-83.732;0.166;3.14
359;-19.393;0.165;22.12
360;-10.112;0.165;21.33
361;-13.923;0.164;21.6
362;130.107;0.163;21.14
363;-22.03;0.162;6.58
364;122.316;0.161;21.61
365;-37.405;0.16;21.26
366;-62.594;0.16;21.63
367;-68.841;0.159;21.32
368;-34.477;0.158;22.29
369;-62.672;0.157;22.46
370;74.759;0.157;21.79
371;-63.787;0.156;21.7
372;110.197;0.155;21.74
373;-70.563;0.154;21.65
374;-249.289;0.153;19.65
375;-9.732;0.153;6.55
376;81.944;0.152;21.9
377;-21.082;0.151;22.29
378;-257.89;0.15;3.37
379;-63.261;0.15;4.37
380;90.969;0.149;21.57
381;-25.975;0.148;22.09
382;-66.071;0.147;3.71
383;-46.648;0.147;2.6
384;69.431;0.146;22.19
385;17.081;0.145;2.03
386;-54.097;0.144;21.68
387;-36.291;0.144;21.79
388;141.855;0.143;21.45
389;-60.541;0.142;22.33
390;-22.326;0.142;21.72
391;103.058;0.141;21.84
392;-65.865;0.14;22.52
393;-61.742;0.139;21.66
394;-244.517;0.139;3.21
395;-31.137;0.138;22.26
396;-18.407;0.137;21.42
397;14.437;0.137;21.57
398;74.56;0.136;21.44
399;25.713;0.135;2.86
400;-36.19;0.135;21.62
401;-12.214;0.134;21.64
402;155.509;0.133;21.09
403;109.761;0.133;21.56
404;143.926;0.132;21.56
405;4.495;0.131;21.79
406;-45.203;0.131;22.08
407;-17.88;0.13;1.76
408;216.452;0.129;8.66
409;-93.758;0.129;22.16
410;-26.766;0.128;21.95
411;84.701;0.127;21.5
412;148.002;0.127;21.3
413;-32.171;0.126;22.07
414;-22.306;0.126;22.06
415;-28.637;0.125;22.72
416;196.04;0.124;21.15
417;-143.935;0.124;6.25
418;-7.423;0.123;2.32
419;-40.653;0.122;22.03
420;153.56;0.122;21.29
421;108.163;0.121;21.52
422;-4.094;0.121;2.17
423;39.413;0.12;22.43
424;-59.821;0.119;21.55
425;-30.332;0.119;21.89
426;-17.032;0.118;2.52
427;27.827;0.118;4.39
428;1.704;0.117;22.1
429;-29.854;0.116;21.41
430;104.8;0.116;21.95
431;114.322;0.115;21.68
432;165.146;0.115;21.46
433;-51.983;0.114;21.86
434;-24.468;0.114;21.6
435;228.761;0.113;13.51
436;117.575;0.112;21.44
437;-33.58;0.112;21.8
438;-46.741;0.111;22.31
439;299.294;0.111;17.71
440;24.022;0.11;22.12
441;-13.358;0.11;21.76
442;-29.62;0.109;22.46
443;72.415;0.109;21.9
444;142.651;0.108;21.7
445;127.551;0.107;21.94
446;-300.965;0.107;5.69
447;1.328;0.106;6.8
448;108.256;0.106;21.55
449;163.172;0.105;21.39
450;-61.517;0.105;6.34
451;-77.083;0.104;21.24
452;-59.91;0.104;2.84
453;-23.596;0.103;22.73
454;126.082;0.103;21.59
455;5.462;0.102;22.45
456;25.466;0.102;7.66
457;84.286;0.101;21.76
458;140.422;0.101;21.65
459;42.931;0.1;22.43
460;27.797;0.1;22.28
461;-55.856;0.099;22.26
462;78.278;0.099;22.18
463;-256.727;0.098;7.47
464;243.293;0.098;18.92
465;-26.924;0.097;22.37
466;91.778;0.097;21.5
467;-283.302;0.096;5.23
468;19.148;0.096;21.71
469;131.797;0.095;21.37
470;252.851;0.095;9.22
471;-50.537;0.094;22.18
472;-44.044;0.094;22.05
473;120.923;0.093;21.39
474;261.442;0.093;10.86
475;-48.779;0.092;3.17
476;172.866;0.092;18.24
477;-113.314;0.092;5.67
478;-72.842;0.091;4.51
479;-29.778;0.091;21.65
480;-34.403;0.09;21.75
481;248.641;0.09;10.3
482;213.023;0.089;9.47
483;-75.379;0.089;3.09
484;246.441;0.088;11.89
485;-30.996;0.088;22.7
486;132.522;0.088;21.71
487;-10.952;0.087;21.81
488;-335.118;0.087;11.48
489;-22.335;0.086;22.36
490;-132.907;0.086;8.19
491;232.927;0.085;19.51
492;174.703;0.085;21.42
493;-23.373;0.084;3.12
494;59.871;0.084;21.88
495;-3.898;0.084;21.91
496;-22.417;0.083;22.4
497;86.406;0.083;21.54
498;-54.486;0.082;21.43
499;118.97;0.082;16.08
500;57.738;0.082;21.78
501;236.273;0.081;9.47
502;137.988;0.081;21.32
503;127.021;0.08;21.7
504;-28.235;0.08;5.08
505;23.795;0.08;22.45
506;225.864;0.079;18.1
507;-3.988;0.079;22.33
508;186.614;0.078;21.39
509;-55.072;0.078;21.26
510;302.64;0.078;7.47
511;45.618;0.077;21.85
512;148.286;0.077;21.58
513;160.482;0.076;21.43
514;162.832;0.076;21.46
515;-30.629;0.076;2.07
516;126.264;0.075;21.84
517;112.03;0.075;18.41
518;111.418;0.075;21.83
519;-13.582;0.074;22.61
520;239.131;0.074;6.84
521;-39.268;0.073;21.94
522;157.696;0.073;21.57
523;-28.852;0.073;7.7
524;253.812;0.072;6.49
525;19.858;0.072;5.29
526;7.688;0.072;2.69
527;134.708;0.071;21.95
528;270.074;0.071;12.72
529;239.73;0.071;7.81
530;222.301;0.07;14.26
531;63.574;0.07;22.66
532;178.957;0.069;13.86
533;246.216;0.069;4.43
534;-141.196;0.069;8.31
535;-160.147;0.068;18.62
536;30.48;0.068;22.61
537;259.939;0.068;8.96
538;287.193;0.067;7.32
539;268.315;0.067;18.25
540;-42.857;0.067;22.22
541;138.765;0.066;21.64
542;245.754;0.066;4.38
543;201.628;0.066;21.05
544;256.251;0.065;6.17
545;-118.925;0.065;10.76
546;146.826;0.065;21.87
547;257.295;0.064;8.52
548;166.326;0.064;21.31
549;289.567;0.064;7.34
550;-34.232;0.063;21.67
551;154.358;0.063;21.36
552;204.313;0.063;19.42
553;257.28;0.063;5.55
554;245.418;0.062;6.89
555;-49.25;0.062;21.37
556;131.84;0.062;21.85
