Episode;Total Reward;Epsilon;Elapsed time [s]
1;-104.771;0.995;1.51
2;-110.013;0.99;0.23
3;-176.951;0.985;0.16
4;7.053;0.98;0.2
5;-139.773;0.975;0.21
6;-117.348;0.97;0.18
7;-397.304;0.966;0.18
8;-406.115;0.961;0.22
9;-79.909;0.956;0.14
10;-128.449;0.951;0.14
11;-216.617;0.946;0.16
12;-96.217;0.942;0.17
13;-188.831;0.937;0.23
14;-273.964;0.932;0.2
15;-122.929;0.928;0.24
16;-117.192;0.923;0.12
17;-125.188;0.918;0.2
18;-154.248;0.914;0.2
19;-336.366;0.909;0.19
20;-251.229;0.905;0.18
21;-140.644;0.9;0.2
22;-100.298;0.896;0.17
23;-269.829;0.891;0.16
24;-78.252;0.887;0.18
25;-266.545;0.882;0.17
26;-356.743;0.878;0.14
27;-266.227;0.873;0.15
28;-338.219;0.869;0.22
29;-102.806;0.865;0.31
30;-524.226;0.86;0.24
31;-64.817;0.856;0.14
32;-191.609;0.852;0.32
33;-96.218;0.848;0.21
34;-102.081;0.843;0.19
35;-52.852;0.839;0.2
36;-142.581;0.835;0.13
37;-179.829;0.831;0.25
38;-66.461;0.827;0.27
39;-47.311;0.822;0.25
40;-87.512;0.818;0.2
41;-161.982;0.814;0.25
42;-96.573;0.81;0.16
43;-73.847;0.806;0.17
44;-157.417;0.802;0.22
45;-232.107;0.798;0.3
46;-225.921;0.794;0.16
47;-104.406;0.79;0.25
48;-81.485;0.786;0.26
49;-136.444;0.782;0.19
50;-95.22;0.778;0.2
51;-49.06;0.774;0.2
52;-302.546;0.771;0.24
53;-156.364;0.767;0.2
54;-94.002;0.763;0.29
55;-120.399;0.759;0.42
56;-164.521;0.755;0.29
57;-108.219;0.751;0.29
58;-111.962;0.748;0.28
59;-133.201;0.744;0.28
60;-41.03;0.74;0.4
61;-101.697;0.737;0.41
62;-357.802;0.733;0.29
63;-75.93;0.729;0.4
64;-46.735;0.726;0.42
65;-259.723;0.722;0.31
66;-49.077;0.718;0.22
67;-147.206;0.715;0.32
68;-77.718;0.711;0.4
69;-216.428;0.708;0.35
70;-100.694;0.704;0.24
71;-156.962;0.701;0.21
72;-249.759;0.697;0.36
73;-92.314;0.694;0.37
74;-236.536;0.69;0.22
75;-88.059;0.687;0.46
76;-77.761;0.683;0.26
77;-43.296;0.68;0.62
78;-223.317;0.676;0.41
79;-99.309;0.673;0.27
80;-136.706;0.67;0.28
81;-100.729;0.666;0.5
82;-38.36;0.663;0.38
83;-103.911;0.66;0.33
84;-97.289;0.656;0.24
85;-232.177;0.653;0.47
86;-63.45;0.65;0.24
87;-53.456;0.647;0.39
88;-83.752;0.643;0.32
89;-103.757;0.64;0.35
90;-96.962;0.637;0.51
91;-165.188;0.634;0.38
92;-101.753;0.631;0.34
93;-174.815;0.627;0.47
94;-115.893;0.624;0.47
95;-101.447;0.621;0.35
96;-76.461;0.618;0.48
97;-103.871;0.615;0.45
98;-120.217;0.612;0.38
99;-86.456;0.609;0.42
100;-86.693;0.606;0.57
101;1.101;0.603;0.6
102;-54.819;0.6;0.45
103;-53.761;0.597;0.31
104;-79.603;0.594;0.69
105;-87.785;0.591;0.36
106;-58.67;0.588;0.62
107;-202.255;0.585;0.55
108;-105.742;0.582;0.26
109;-87.84;0.579;0.34
110;-253.977;0.576;0.63
111;-271.304;0.573;0.55
112;-136.287;0.57;0.37
113;-33.267;0.568;0.42
114;-146.345;0.565;0.42
115;-117.197;0.562;0.39
116;-85.4;0.559;0.43
117;-104.785;0.556;0.36
118;-33.786;0.554;0.57
119;-66.476;0.551;0.54
120;-109.884;0.548;0.53
121;-69.206;0.545;0.49
122;12.366;0.543;0.63
123;-11.01;0.54;0.5
124;-60.778;0.537;0.61
125;9.847;0.534;0.41
126;-26.616;0.532;0.67
127;-66.58;0.529;0.37
128;-29.53;0.526;0.53
129;-71.496;0.524;0.32
130;-47.866;0.521;0.99
131;-81.534;0.519;0.93
132;-31.851;0.516;0.61
133;-94.955;0.513;0.32
134;-78.33;0.511;0.33
135;-95.141;0.508;0.41
136;-64.64;0.506;0.52
137;-312.192;0.503;0.49
138;-189.078;0.501;0.57
139;-78.695;0.498;0.43
140;-10.17;0.496;0.51
141;-76.538;0.493;1.09
142;-86.524;0.491;0.31
143;-81.787;0.488;0.55
144;0.592;0.486;0.91
145;-27.486;0.483;0.54
146;-88.13;0.481;0.59
147;-76.214;0.479;0.99
148;-55.481;0.476;0.6
149;-85.958;0.474;0.91
150;-105.848;0.471;1.02
151;-38.324;0.469;0.77
152;-330.338;0.467;1.01
153;-46.851;0.464;0.78
154;-79.822;0.462;1.17
155;-105.369;0.46;1.02
156;-22.683;0.458;0.67
157;-84.959;0.455;0.58
158;-82.549;0.453;0.74
159;4.781;0.451;5.53
160;0.556;0.448;1.0
161;-89.056;0.446;0.42
162;-89.836;0.444;0.78
163;-24.287;0.442;0.97
164;-45.816;0.44;1.51
165;-87.723;0.437;0.56
166;-35.608;0.435;0.64
167;-12.683;0.433;1.23
168;-196.576;0.431;0.97
169;-41.226;0.429;0.53
170;-52.71;0.427;1.51
171;23.594;0.424;0.57
172;-66.176;0.422;0.82
173;-84.84;0.42;1.18
174;-66.915;0.418;0.71
175;-34.81;0.416;1.03
176;-49.533;0.414;1.85
177;-307.85;0.412;2.63
178;-2.164;0.41;0.73
179;-39.514;0.408;0.79
180;-36.257;0.406;0.85
181;2.35;0.404;0.65
182;-68.811;0.402;2.09
183;-33.556;0.4;0.42
184;-163.961;0.398;1.07
185;-10.829;0.396;1.38
186;-48.911;0.394;1.74
187;-235.276;0.392;1.12
188;1.019;0.39;1.07
189;-82.656;0.388;0.65
190;8.854;0.386;2.11
191;-53.034;0.384;0.85
192;-112.399;0.382;2.9
193;-59.209;0.38;0.95
194;90.013;0.378;7.03
195;-40.469;0.376;1.33
196;-47.754;0.374;0.71
197;9.547;0.373;1.37
198;-13.425;0.371;0.93
199;-103.335;0.369;0.74
200;-62.112;0.367;0.66
201;-174.981;0.365;1.75
202;-70.335;0.363;1.04
203;-166.656;0.361;2.19
204;-11.712;0.36;1.9
205;-151.368;0.358;4.59
206;-159.216;0.356;4.83
207;-10.743;0.354;1.1
208;-53.127;0.353;2.35
209;-44.069;0.351;1.94
210;-76.619;0.349;3.97
211;-146.316;0.347;3.19
212;71.301;0.346;7.91
213;18.761;0.344;8.17
214;-89.508;0.342;3.96
215;-36.271;0.34;1.54
216;-160.84;0.339;3.38
217;-161.188;0.337;3.93
218;-41.165;0.335;1.6
219;-238.853;0.334;8.22
220;-33.06;0.332;9.11
221;-6.162;0.33;0.81
222;40.905;0.329;1.17
