Episode;Total Reward;Epsilon;Elapsed time [s]
1;-269.175;0.995;0.68
2;-141.227;0.99;0.23
3;-57.929;0.985;0.4
4;-215.915;0.98;0.34
5;-342.825;0.975;0.38
6;-99.171;0.97;0.28
7;-74.179;0.966;0.23
8;-307.351;0.961;0.34
9;-219.535;0.956;0.34
10;-131.561;0.951;0.25
11;-83.888;0.946;0.26
12;-239.73;0.942;0.41
13;-81.901;0.937;0.35
14;-109.844;0.932;0.22
15;-101.571;0.928;0.35
16;-91.957;0.923;0.3
17;-179.512;0.918;0.31
18;-131.731;0.914;0.21
19;-122.617;0.909;0.43
20;-234.734;0.905;0.49
21;-236.113;0.9;0.5
22;-362.527;0.896;0.38
23;-148.13;0.891;0.32
24;-245.947;0.887;0.34
25;-320.301;0.882;0.33
26;-172.631;0.878;0.25
27;-266.697;0.873;0.38
28;-146.25;0.869;0.33
29;-73.17;0.865;0.43
30;-85.247;0.86;0.28
31;-174.516;0.856;0.35
32;-188.844;0.852;0.38
33;-177.819;0.848;0.6
34;-111.471;0.843;0.31
35;-217.77;0.839;0.34
36;-109.449;0.835;0.34
37;-79.564;0.831;0.36
38;-151.95;0.827;0.35
39;-119.691;0.822;0.52
40;-114.086;0.818;0.74
41;-110.449;0.814;0.68
42;-111.111;0.81;0.48
43;-107.764;0.806;0.6
44;-103.438;0.802;0.29
45;-22.243;0.798;0.54
46;-144.272;0.794;0.42
47;-221.503;0.79;0.44
48;-112.524;0.786;0.53
49;-80.897;0.782;0.36
50;-125.153;0.778;0.47
51;-185.306;0.774;0.49
52;-68.272;0.771;0.34
53;-373.269;0.767;0.41
54;-81.303;0.763;0.46
55;-117.873;0.759;0.41
56;-103.217;0.755;0.29
57;-42.232;0.751;0.29
58;-311.054;0.748;0.63
59;-177.398;0.744;0.54
60;-223.495;0.74;0.55
61;-185.884;0.737;0.43
62;-52.251;0.733;0.4
63;-87.444;0.729;0.63
64;-107.736;0.726;0.41
65;-141.328;0.722;0.66
66;-87.343;0.718;0.58
67;-156.43;0.715;1.07
68;-344.756;0.711;0.98
69;-25.971;0.708;0.49
70;-315.961;0.704;0.63
71;-198.193;0.701;0.82
72;-135.668;0.697;0.76
73;-248.99;0.694;0.53
74;-153.167;0.69;0.78
75;-192.346;0.687;0.68
76;-252.26;0.683;0.56
77;-102.066;0.68;0.45
78;-66.234;0.676;0.66
79;-84.85;0.673;0.55
80;-149.368;0.67;0.63
81;-91.26;0.666;0.52
82;-256.56;0.663;0.63
83;-130.738;0.66;0.48
84;-146.352;0.656;0.87
85;-97.311;0.653;0.53
86;-258.228;0.65;0.6
87;-151.521;0.647;1.12
88;-145.439;0.643;0.57
89;-36.11;0.64;0.56
90;-220.002;0.637;0.8
91;-90.111;0.634;1.03
92;-36.294;0.631;0.85
93;-192.101;0.627;0.89
94;-71.257;0.624;0.41
95;8.293;0.621;0.65
96;-276.958;0.618;0.65
97;-18.733;0.615;0.87
98;-199.683;0.612;0.76
99;-44.006;0.609;0.4
100;-116.198;0.606;1.37
101;-65.65;0.603;1.16
102;-227.224;0.6;1.41
103;-206.189;0.597;0.82
104;-80.685;0.594;0.45
105;-198.93;0.591;0.79
106;-123.134;0.588;1.03
107;-280.451;0.585;0.84
108;-90.489;0.582;0.83
109;-249.267;0.579;0.77
110;-6.765;0.576;0.8
111;-37.585;0.573;1.24
112;-288.219;0.57;1.46
113;-129.957;0.568;0.37
114;-140.218;0.565;0.61
115;-96.911;0.562;1.04
116;-24.712;0.559;0.47
117;-221.527;0.556;0.66
118;-341.254;0.554;0.92
119;-102.167;0.551;0.38
120;-209.368;0.548;1.07
121;-212.258;0.545;0.73
122;-83.787;0.543;0.62
123;-92.987;0.54;0.97
124;-222.185;0.537;0.66
125;-35.175;0.534;0.48
126;-113.951;0.532;1.05
127;-61.624;0.529;1.39
128;-105.903;0.526;1.47
129;-79.843;0.524;2.3
130;-62.036;0.521;0.77
131;-149.342;0.519;1.27
132;-100.977;0.516;0.58
133;-53.719;0.513;1.15
134;-35.423;0.511;0.49
135;-52.508;0.508;1.9
136;-169.663;0.506;1.11
137;-303.224;0.503;0.82
138;-90.579;0.501;1.29
139;-94.079;0.498;0.73
140;-178.752;0.496;1.31
141;-93.219;0.493;1.21
142;6.977;0.491;1.1
143;-257.741;0.488;0.72
144;-53.574;0.486;0.79
145;-90.995;0.483;1.78
146;-145.734;0.481;2.1
147;-259.557;0.479;1.37
148;-79.483;0.476;0.9
149;-217.017;0.474;1.72
150;-58.638;0.471;1.05
151;-62.038;0.469;1.1
152;-49.133;0.467;0.53
153;-181.305;0.464;1.51
154;-9.815;0.462;1.53
155;-20.071;0.46;0.98
156;-102.34;0.458;1.01
157;-45.106;0.455;3.23
158;-267.467;0.453;2.45
159;-48.383;0.451;1.2
160;-190.226;0.448;1.1
161;-230.809;0.446;5.66
162;-66.536;0.444;0.74
163;-233.412;0.442;2.43
164;10.549;0.44;1.0
165;-33.97;0.437;1.56
166;-41.393;0.435;1.89
167;-16.979;0.433;1.49
168;-63.599;0.431;0.91
169;-27.706;0.429;0.54
170;-59.253;0.427;1.84
171;-239.867;0.424;1.85
172;-106.434;0.422;1.22
173;-136.596;0.42;0.91
174;-30.106;0.418;1.23
175;-61.692;0.416;1.4
176;-238.22;0.414;1.38
177;-114.603;0.412;2.64
178;-358.321;0.41;1.5
179;-201.842;0.408;1.22
180;-289.406;0.406;1.98
181;-81.141;0.404;1.42
182;-152.085;0.402;0.8
183;-98.021;0.4;2.37
184;-68.148;0.398;2.11
185;-775.064;0.396;0.69
186;19.609;0.394;1.09
187;-316.36;0.392;3.17
188;-407.055;0.39;7.74
189;6.446;0.388;1.93
190;-19.914;0.386;0.84
191;-82.947;0.384;2.25
192;-283.531;0.382;2.02
193;-203.48;0.38;1.73
194;-106.951;0.378;1.24
195;-74.767;0.376;8.03
196;-150.916;0.374;8.46
197;-199.852;0.373;5.08
198;-44.161;0.371;3.38
199;-196.546;0.369;4.37
200;-127.058;0.367;2.5
201;-13.568;0.365;0.55
202;27.942;0.363;0.93
203;-14.719;0.361;8.69
204;39.488;0.36;0.95
205;-256.451;0.358;6.3
206;-239.724;0.356;4.66
207;-80.092;0.354;5.63
208;-85.076;0.353;6.13
209;-62.905;0.351;10.93
