Episode;Total Reward;Epsilon;Elapsed time [s]
1;-177.626;0.995;0.59
2;-164.397;0.99;0.27
3;-181.036;0.985;0.3
4;-259.891;0.98;0.4
5;-449.399;0.975;0.28
6;-192.637;0.97;0.43
7;-14.379;0.966;0.33
8;-101.849;0.961;0.23
9;-91.272;0.956;0.3
10;-325.836;0.951;0.32
11;-111.406;0.946;0.29
12;-205.896;0.942;0.46
13;-109.326;0.937;0.2
14;-182.622;0.932;0.4
15;-97.623;0.928;0.24
16;-113.404;0.923;0.43
17;-180.889;0.918;0.37
18;-162.883;0.914;0.41
19;-106.353;0.909;0.32
20;-65.547;0.905;0.28
21;-268.4;0.9;0.37
22;-99.614;0.896;0.29
23;-143.313;0.891;0.38
24;-183.988;0.887;0.27
25;-103.085;0.882;0.28
26;-157.661;0.878;0.28
27;-97.267;0.873;0.28
28;-89.547;0.869;0.31
29;-106.899;0.865;0.34
30;-343.382;0.86;0.38
31;-172.941;0.856;0.28
32;-375.304;0.852;0.48
33;-112.158;0.848;0.42
34;-117.516;0.843;0.39
35;-117.424;0.839;0.35
36;-122.629;0.835;0.32
37;-120.975;0.831;0.47
38;-394.005;0.827;0.42
39;-224.236;0.822;0.38
40;-42.951;0.818;0.29
41;-389.026;0.814;0.58
42;-251.988;0.81;0.42
43;-171.8;0.806;0.48
44;-303.472;0.802;0.51
45;-86.092;0.798;0.41
46;-96.095;0.794;0.3
47;-95.086;0.79;0.35
48;-100.62;0.786;0.56
49;-128.563;0.782;0.36
50;-213.26;0.778;0.51
51;-187.473;0.774;0.31
52;-99.299;0.771;0.32
53;-154.506;0.767;0.3
54;-93.898;0.763;0.39
55;-67.945;0.759;0.46
56;-136.989;0.755;0.51
57;-226.818;0.751;0.59
58;-40.378;0.748;0.62
59;-142.608;0.744;0.37
60;-311.086;0.74;0.89
61;-119.925;0.737;0.35
62;-174.774;0.733;0.51
63;-74.798;0.729;0.4
64;-147.965;0.726;0.28
65;-231.307;0.722;0.48
66;-13.542;0.718;0.3
67;-71.497;0.715;0.53
68;-259.443;0.711;0.52
69;-52.636;0.708;0.31
70;-74.258;0.704;0.34
71;-35.526;0.701;0.51
72;-120.442;0.697;0.48
73;-237.565;0.694;0.44
74;-50.625;0.69;0.39
75;-228.291;0.687;0.47
76;-168.138;0.683;0.5
77;-56.082;0.68;0.76
78;-251.03;0.676;0.53
79;-64.918;0.673;0.31
80;-286.526;0.67;0.51
81;-210.445;0.666;0.64
82;-79.396;0.663;0.4
83;-209.95;0.66;0.52
84;-151.141;0.656;0.71
85;-171.13;0.653;0.57
86;-288.082;0.65;0.64
87;-121.055;0.647;0.6
88;-260.115;0.643;0.59
89;-83.524;0.64;0.49
90;-25.899;0.637;0.47
91;-56.009;0.634;0.51
92;-124.64;0.631;0.64
93;-106.871;0.627;0.38
94;-56.151;0.624;0.5
95;-88.754;0.621;0.34
96;-130.514;0.618;0.49
97;-101.791;0.615;0.53
98;-144.973;0.612;0.63
99;-212.28;0.609;0.61
100;-72.961;0.606;0.8
101;-75.884;0.603;0.53
102;-202.675;0.6;0.51
103;-246.101;0.597;0.51
104;-83.993;0.594;0.49
105;-144.174;0.591;0.5
